anime_id,title_english,type,episodes,status,duration,rating,score,rank,popularity,premiered
11013,Inu X Boku Secret Service,TV,12,Finished Airing,24 min. per ep.,PG-13 - Teens 13 or older,7.63,1274,231,Winter 2012
2104,My Bride is a Mermaid,TV,26,Finished Airing,24 min. per ep.,PG-13 - Teens 13 or older,7.89,727,366,Spring 2007
5262,Shugo Chara!! Doki,TV,51,Finished Airing,24 min. per ep.,PG - Children,7.55,1508,1173,Fall 2008
721,Princess Tutu,TV,38,Finished Airing,16 min. per ep.,PG-13 - Teens 13 or older,8.21,307,916,Summer 2002
12365,Bakuman.,TV,25,Finished Airing,24 min. per ep.,PG-13 - Teens 13 or older,8.67,50,426,Fall 2012
6586,,TV,50,Finished Airing,24 min. per ep.,G - All Ages,8.03,526,1630,Fall 2009
178,Ultramaniac - Magical Girl,TV,26,Finished Airing,24 min. per ep.,G - All Ages,7.26,2594,2490,Spring 2003
2787,Shakugan no Shana: Season II,TV,24,Finished Airing,24 min. per ep.,PG-13 - Teens 13 or older,7.72,1066,332,Fall 2007
4477,,TV,11,Finished Airing,23 min. per ep.,PG-13 - Teens 13 or older,8.24,281,988,Fall 2008
853,Ouran High School Host Club,TV,26,Finished Airing,23 min. per ep.,PG-13 - Teens 13 or older,8.34,205,69,Spring 2006
4814,Junjo Romantica 2,TV,12,Finished Airing,24 min. per ep.,PG-13 - Teens 13 or older,8.15,374,799,Fall 2008
7054,Maid Sama!,TV,26,Finished Airing,24 min. per ep.,PG-13 - Teens 13 or older,8.2,314,71,Spring 2010
1557,Shonen Onmyoji,TV,26,Finished Airing,23 min. per ep.,PG-13 - Teens 13 or older,7.68,1158,1793,Fall 2006
7518,,Music,1,Finished Airing,2 min.,G - All Ages,5.79,7814,8069,
11123,Sekai Ichi Hatsukoi - World&#039;s Greatest First Love 2,TV,12,Finished Airing,24 min. per ep.,PG-13 - Teens 13 or older,8.23,288,945,Fall 2011
14227,My Little Monster,TV,13,Finished Airing,24 min. per ep.,PG-13 - Teens 13 or older,7.71,1093,88,Fall 2012
269,Bleach,TV,366,Finished Airing,24 min. per ep.,PG-13 - Teens 13 or older,7.9,693,18,Fall 2004
59,Chobits,TV,26,Finished Airing,24 min. per ep.,PG-13 - Teens 13 or older,7.53,1546,188,Spring 2002
6045,Kimi ni Todoke: From Me to You,TV,25,Finished Airing,22 min. per ep.,PG-13 - Teens 13 or older,8.13,400,111,Fall 2009
1735,Naruto: Shippuden,TV,500,Finished Airing,23 min. per ep.,PG-13 - Teens 13 or older,8.18,337,20,Winter 2007
4250,That is an UFO! The Flying Saucer,Movie,1,Finished Airing,15 min.,PG - Children,4.85,9171,8951,
210,Ranma ½,TV,161,Finished Airing,24 min. per ep.,R+ - Mild Nudity,7.85,802,623,Spring 1989
4224,Toradora!,TV,25,Finished Airing,24 min. per ep.,PG-13 - Teens 13 or older,8.39,174,13,Fall 2008
10030,Bakuman.,TV,25,Finished Airing,24 min. per ep.,PG-13 - Teens 13 or older,8.49,108,374,Fall 2011
74,Gakuen Alice,TV,26,Finished Airing,25 min. per ep.,G - All Ages,7.77,941,1291,Fall 2004
4722,Skip Beat!,TV,25,Finished Airing,24 min. per ep.,PG-13 - Teens 13 or older,8.24,282,488,Fall 2008
14397,,TV,25,Finished Airing,22 min. per ep.,PG-13 - Teens 13 or older,8.47,116,757,Winter 2013
16642,,OVA,2,Finished Airing,26 min. per ep.,Rx - Hentai,7.03,,4667,
10800,Chihayafuru,TV,25,Finished Airing,22 min. per ep.,PG-13 - Teens 13 or older,8.29,246,348,Fall 2011
3731,ItaKiss,TV,25,Finished Airing,24 min. per ep.,PG-13 - Teens 13 or older,7.7,1108,473,Spring 2008
9513,Beelzebub,TV,60,Finished Airing,24 min. per ep.,PG-13 - Teens 13 or older,8.02,528,208,Winter 2011
5835,,TV,39,Finished Airing,24 min. per ep.,PG-13 - Teens 13 or older,7.87,753,1654,Spring 2009
9863,SKET Dance,TV,77,Finished Airing,24 min. per ep.,PG-13 - Teens 13 or older,8.33,213,646,Spring 2011
7817,Yamada&#039;s First Time: B Gata H Kei,TV,12,Finished Airing,24 min. per ep.,R+ - Mild Nudity,7.1,3193,285,Spring 2010
34785,,ONA,1,Finished Airing,3 min.,G - All Ages,5,12359,13787,
966,Shin Chan,TV,0,Currently Airing,21 min.,PG - Children,7.73,1032,1937,Spring 1992
120,Fruits Basket,TV,26,Finished Airing,24 min. per ep.,PG-13 - Teens 13 or older,7.77,939,222,Summer 2001
957,The Story of Saiunkoku,TV,39,Finished Airing,25 min. per ep.,PG-13 - Teens 13 or older,8.04,512,1313,Spring 2006
21,One Piece,TV,0,Currently Airing,24 min.,PG-13 - Teens 13 or older,8.54,91,35,Fall 1999
1974,Glass Mask,TV,51,Finished Airing,25 min. per ep.,G - All Ages,8.18,333,2523,Spring 2005
857,Air Gear,TV,25,Finished Airing,24 min. per ep.,R+ - Mild Nudity,7.64,1233,297,Spring 2006
7605,,TV,200,Finished Airing,10 min. per ep.,PG - Children,6.39,6043,10418,Fall 1989
1914,Tales of Saiunkoku,TV,39,Finished Airing,25 min. per ep.,PG-13 - Teens 13 or older,8.16,362,2233,Spring 2007
249,InuYasha,TV,167,Finished Airing,24 min. per ep.,PG-13 - Teens 13 or older,7.9,697,141,Fall 2000
6645,Chu-Bra,TV,12,Finished Airing,24 min. per ep.,PG-13 - Teens 13 or older,6.3,6380,1858,Winter 2010
5690,,TV,11,Finished Airing,22 min. per ep.,PG-13 - Teens 13 or older,8.34,203,995,Winter 2010
1571,Ghost Hunt,TV,25,Finished Airing,25 min. per ep.,PG-13 - Teens 13 or older,7.92,656,527,Fall 2006
11759,Accel World,TV,24,Finished Airing,24 min. per ep.,PG-13 - Teens 13 or older,7.53,1545,103,Spring 2012
11547,,TV,26,Finished Airing,3 min. per ep.,PG-13 - Teens 13 or older,6.2,6763,5316,Fall 2011
7674,Bakuman.,TV,25,Finished Airing,24 min. per ep.,PG-13 - Teens 13 or older,8.32,216,172,Fall 2010
1698,Nodame Cantabile,TV,23,Finished Airing,22 min. per ep.,PG-13 - Teens 13 or older,8.41,163,381,Winter 2007
14713,Kamisama Kiss,TV,13,Finished Airing,24 min. per ep.,PG-13 - Teens 13 or older,8.14,383,259,Fall 2012
232,Cardcaptor Sakura,TV,70,Finished Airing,25 min. per ep.,PG - Children,8.21,297,292,Spring 1998
233,,TV,78,Finished Airing,25 min. per ep.,G - All Ages,7.78,919,3045,Spring 2000
33185,,Movie,1,Not yet aired,Unknown,R - 17+ (violence & profanity),0,,5215,
